"species_code","season","start_year","end_year","start_date","end_date","srd_id","longitude","latitude","abd","abd_ppy","abd_ppy_lower","abd_ppy_upper","abd_ppy_nonzero","abd_trend","abd_trend_lower","abd_trend_upper"
"uplsan","breeding",2012,2022,"05-31","06-28",246778,-113.64406685,50.551853542592,0.0831455795514373,0.871818213182906,-1.20077164145233,2.33693296805725,FALSE,9.06828655927261,-11.3792284525335,25.9864882320642
"uplsan","breeding",2012,2022,"05-31","06-28",246779,-113.266644970094,50.551853542592,0.0507238782542539,1.8166966544233,-1.43096824357676,4.37231755796216,FALSE,19.7264282588865,-13.4225271163035,53.4098585903187
"uplsan","breeding",2012,2022,"05-31","06-28",246780,-112.889223090187,50.551853542592,0.0844038489269083,-1.23018493118042,-1.81583923677952,0.125762219291206,FALSE,-11.642706131825,-16.7442335845257,1.26476337550159
"uplsan","breeding",2012,2022,"05-31","06-28",246781,-112.51180121028,50.551853542592,0.104357951965948,2.91676019981052,-0.245681370661354,5.52766544940666,FALSE,33.3094886183461,-2.42982919260412,71.2629044884412
"uplsan","breeding",2012,2022,"05-31","06-28",246782,-112.134379330374,50.551853542592,0.118126343937732,0.361630412091537,-0.625324992995446,1.0522748010943,FALSE,3.67572469115545,-6.08018821349848,11.0352677646438
"uplsan","breeding",2012,2022,"05-31","06-28",246783,-111.756957450467,50.551853542592,0.162253051897032,-1.98735097369574,-3.12567995932465,-1.05712244590563,TRUE,-18.1871970622936,-27.2074937887009,-10.0822630759659
"uplsan","breeding",2012,2022,"05-31","06-28",246784,-111.379535570561,50.551853542592,0.270213547255237,0.0756895170017597,-1.63008857167906,1.60710127076666,FALSE,0.759478386673762,-15.1556740914409,17.2844988252016
"uplsan","breeding",2012,2022,"05-31","06-28",246785,-111.002113690654,50.551853542592,0.229729001635163,1.07183347611244,-1.30915499914907,2.94039553691327,FALSE,11.250363881788,-12.3466185781342,33.615956961433
"uplsan","breeding",2012,2022,"05-31","06-28",246786,-110.624691810747,50.551853542592,0.318810696506376,-1.72834118090593,-2.34771767873302,-0.740711851095113,TRUE,-15.9993068484793,-21.1459542722547,-7.16503826870943
"uplsan","breeding",2012,2022,"05-31","06-28",246787,-110.247269930841,50.551853542592,0.342473455828223,-1.020380971297,-2.45167975936303,-0.0381535503748831,TRUE,-9.74780379975966,-21.9814358254637,-0.380881107749731
"uplsan","breeding",2012,2022,"05-31","06-28",246788,-109.869848050934,50.551853542592,0.240514826959719,2.93739008805046,0.219173838950353,4.09358327772936,TRUE,33.5769515575728,2.21348194452218,49.3618168635574
